nama_channel,judul_video,author,komentar,casefolding,stripping,normalisasi,tokenizing,stopword_removal,stemming,no_repeated,token_list,final_tokens,final_cleaned
INDIRA KALISTHA,REVIEW JUJUR MAKANAN TIKTOKERS! RASANYA KOK GINI?!,@Nnnayla-w2y,Mbala cobain seblak instan tiktokers juga,mbala cobain seblak instan tiktokers juga,mbala cobain seblak instan tiktokers juga,mbala cobain seblak instan tiktokers juga,"['mbala', 'cobain', 'seblak', 'instan', 'tiktokers', 'juga']","['mbala', 'cobain', 'seblak', 'instan', 'tiktokers']","['mbala', 'cobain', 'seblak', 'instan', 'tiktokers']","['mbala', 'cobain', 'seblak', 'instan', 'tiktokers']","['mbala', 'cobain', 'seblak', 'instan', 'tiktokers']","['mbala', 'cobain', 'seblak', 'instan', 'tiktokers']",mbala cobain seblak instan tiktokers
Mia Oktavia Chandra,COBAIN MAKANAN YANG SEMPAT VIRAL DI FYP TIKTOK,@oohHani,"Ngapasih orang2 kalo mau bilang ""ini kriuk"" aja kudu dikadih kata ""kek kriuk2 gitu"" atau ""kaya kriuk2 gitu"" engga makin jauh apa puter jalannya ya?","ngapasih orang2 kalo mau bilang ""ini kriuk"" aja kudu dikadih kata ""kek kriuk2 gitu"" atau ""kaya kriuk2 gitu"" engga makin jauh apa puter jalannya ya?","ngapasih orang2 kalo mau bilang ""ini kriuk"" aja kudu dikadih kata ""kek kriuk2 gitu"" atau ""kaya kriuk2 gitu"" engga makin jauh apa puter jalannya ya?","ngapasih orang2 kalau mau bilang ""ini kriuk"" saja kudu dikadih kata ""kek kriuk2 gitu"" atau ""kaya kriuk2 gitu"" tidak makin jauh apa puter jalannya ya?","['ngapasih', 'orang2', 'kalau', 'mau', 'bilang', 'ini', 'kriuk', 'saja', 'kudu', 'dikadih', 'kata', 'kek', 'kriuk2', 'gitu', 'atau', 'kaya', 'kriuk2', 'gitu', 'tidak', 'makin', 'jauh', 'apa', 'puter', 'jalannya', 'ya']","['ngapasih', 'orang2', 'bilang', 'kriuk', 'kudu', 'dikadih', 'kek', 'kriuk2', 'gitu', 'kaya', 'kriuk2', 'gitu', 'puter', 'jalannya', 'ya']","['ngapasih', 'orang2', 'bilang', 'kriuk', 'kudu', 'dikadih', 'kek', 'kriuk2', 'gitu', 'kaya', 'kriuk2', 'gitu', 'puter', 'jalan', 'ya']","['ngapasih', 'orang2', 'bilang', 'kriuk', 'kudu', 'dikadih', 'kek', 'kriuk2', 'gitu', 'kaya', 'kriuk2', 'gitu', 'puter', 'jalan', 'ya']","['ngapasih', 'orang2', 'bilang', 'kriuk', 'kudu', 'dikadih', 'kek', 'kriuk2', 'gitu', 'kaya', 'kriuk2', 'gitu', 'puter', 'jalan', 'ya']","['ngapasih', 'orang2', 'bilang', 'kriuk', 'kudu', 'dikadih', 'kriuk2', 'gitu', 'kaya', 'kriuk2', 'gitu', 'puter', 'jalan']",ngapasih orang2 bilang kriuk kudu dikadih kriuk2 gitu kaya kriuk2 gitu puter jalan
Mia Oktavia Chandra,COBAIN JUALAN TIKTOKERS ENAK GA YA,@FernaYanti-q1h,Kak aku tantang 24 jam coba semua makanan dari mollysnaks udh sub nih kak,kak aku tantang 24 jam coba semua makanan dari mollysnaks udh sub nih kak,kak aku tantang 24 jam coba semua makanan dari mollysnaks udh sub nih kak,kak aku tantang 24 jam coba semua makanan dari mollysnaks sudah sub nan kak,"['kak', 'aku', 'tantang', '24', 'jam', 'coba', 'semua', 'makanan', 'dari', 'mollysnaks', 'sudah', 'sub', 'nan', 'kak']","['kak', 'tantang', '24', 'jam', 'coba', 'makanan', 'mollysnaks', 'sub', 'nan', 'kak']","['kak', 'tantang', '24', 'jam', 'coba', 'makan', 'mollysnaks', 'sub', 'nan', 'kak']","['kak', 'tantang', '24', 'jam', 'coba', 'makan', 'molysnaks', 'sub', 'nan', 'kak']","['kak', 'tantang', '24', 'jam', 'coba', 'makan', 'molysnaks', 'sub', 'nan', 'kak']","['tantang', 'coba', 'makan', 'molysnaks']",tantang coba makan molysnaks
Mia Oktavia Chandra,SEHARIAN MAKAN DI ATUR FYP TIKTOK SERU BANGET,@alifaayudia9699,di gelato ada lo kaj,di gelato ada lo kaj,di gelato ada lo kaj,di gelato ada lo kaj,"['di', 'gelato', 'ada', 'lo', 'kaj']","['gelato', 'lo', 'kaj']","['gelato', 'lo', 'kaj']","['gelato', 'lo', 'kaj']","['gelato', 'lo', 'kaj']",['gelato'],gelato
Mia Oktavia Chandra,COBAIN JUALAN TIKTOKERS ENAK GA YA,@inaaagsta,"""cabe nya masi kasar,diulek alus gitu"" diulek kasar kali ka makanya cabenya masi kasar besar""ð","""cabe nya masi kasar,diulek alus gitu"" diulek kasar kali ka makanya cabenya masi kasar besar""ð","""cabe nya masi kasar,diulek alus gitu"" diulek kasar kali ka makanya cabenya masi kasar besar""ð","""cabe nya masi kasar,diulek alus gitu"" diulek kasar kali ka makanya cabenya masi kasar besar""ð","['cabe', 'nya', 'masi', 'kasar', 'diulek', 'alus', 'gitu', 'diulek', 'kasar', 'kali', 'ka', 'makanya', 'cabenya', 'masi', 'kasar', 'besar']","['cabe', 'nya', 'masi', 'kasar', 'diulek', 'alus', 'gitu', 'diulek', 'kasar', 'kali', 'ka', 'cabenya', 'masi', 'kasar']","['cabe', 'nya', 'mas', 'kasar', 'ulek', 'alus', 'gitu', 'ulek', 'kasar', 'kali', 'ka', 'cabe', 'mas', 'kasar']","['cabe', 'nya', 'mas', 'kasar', 'ulek', 'alus', 'gitu', 'ulek', 'kasar', 'kali', 'ka', 'cabe', 'mas', 'kasar']","['cabe', 'nya', 'mas', 'kasar', 'ulek', 'alus', 'gitu', 'ulek', 'kasar', 'kali', 'ka', 'cabe', 'mas', 'kasar']","['cabe', 'kasar', 'ulek', 'alus', 'gitu', 'ulek', 'kasar', 'kali', 'cabe', 'kasar']",cabe kasar ulek alus gitu ulek kasar kali cabe kasar
Jessica Jane,REVIEW JUJUR MAKANAN TIKTOKER!,@awlzahra9742,"itu alamat nya Gorengan  terooous ci,
jl mawaddah raya,no 320,klp. dua,kec klp dua,kabupaten tangerang,banten

review ulang ci!","itu alamat nya gorengan  terooous ci,
jl mawaddah raya,no 320,klp. dua,kec klp dua,kabupaten tangerang,banten

review ulang ci!","itu alamat nya gorengan  terooous ci,
jl mawaddah raya,no 320,klp. dua,kec klp dua,kabupaten tangerang,banten

review ulang ci!","itu alamat nya gorengan terooous ci, jl mawaddah raya,no 320,klp. dua,kec klp dua,kabupaten tangerang,banten review ulang ci!","['itu', 'alamat', 'nya', 'gorengan', 'terooous', 'ci', 'jl', 'mawaddah', 'raya', 'no', '320', 'klp', 'dua', 'kec', 'klp', 'dua', 'kabupaten', 'tangerang', 'banten', 'review', 'ulang', 'ci']","['alamat', 'nya', 'gorengan', 'terooous', 'ci', 'jl', 'mawaddah', 'raya', 'no', '320', 'klp', 'kec', 'klp', 'kabupaten', 'tangerang', 'banten', 'review', 'ulang', 'ci']","['alamat', 'nya', 'goreng', 'terooous', 'ci', 'jl', 'mawaddah', 'raya', 'no', '320', 'klp', 'kec', 'klp', 'kabupaten', 'tangerang', 'banten', 'review', 'ulang', 'ci']","['alamat', 'nya', 'goreng', 'terous', 'ci', 'jl', 'mawadah', 'raya', 'no', '320', 'klp', 'kec', 'klp', 'kabupaten', 'tangerang', 'banten', 'review', 'ulang', 'ci']","['alamat', 'nya', 'goreng', 'terous', 'ci', 'jl', 'mawadah', 'raya', 'no', '320', 'klp', 'kec', 'klp', 'kabupaten', 'tangerang', 'banten', 'review', 'ulang', 'ci']","['alamat', 'goreng', 'terous', 'mawadah', 'raya', 'kabupaten', 'tangerang', 'banten', 'review', 'ulang']",alamat goreng terous mawadah raya kabupaten tangerang banten review ulang
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 29!",@HilmanoTriuafuoa,donat pinkan mambo,donat pinkan mambo,donat pinkan mambo,donat pinkan mambo,"['donat', 'pinkan', 'mambo']","['donat', 'pinkan', 'mambo']","['donat', 'pin', 'mambo']","['donat', 'pin', 'mambo']","['donat', 'pin', 'mambo']","['donat', 'mambo']",donat mambo
NanaKoot,JAJAN APA AJA DI JFK 2024 .. UDAH PADA KESINI LOM?,@nabillaputri6677,Enaknya itu beli di mana dong,enaknya itu beli di mana dong,enaknya itu beli di mana dong,enaknya itu beli di mana nan,"['enaknya', 'itu', 'beli', 'di', 'mana', 'nan']","['enaknya', 'beli', 'nan']","['enak', 'beli', 'nan']","['enak', 'beli', 'nan']","['enak', 'beli', 'nan']","['enak', 'beli']",enak beli
Ravie Pie,makanan tiktokers siapa yang pengen kamu cobain?ðð #raviepieshorts,@MilaRochmaniyah,Orang2 napa bs makan pedes2 sih ð­,orang2 napa bs makan pedes2 sih ð­,orang2 napa bs makan pedes2 sih ð­,orang2 napa bs makan pedes2 nan ð­,"['orang2', 'napa', 'bs', 'makan', 'pedes2', 'nan']","['orang2', 'napa', 'bs', 'makan', 'pedes2', 'nan']","['orang2', 'napa', 'bs', 'makan', 'pedes2', 'nan']","['orang2', 'napa', 'bs', 'makan', 'pedes2', 'nan']","['orang2', 'napa', 'bs', 'makan', 'pedes2', 'nan']","['orang2', 'napa', 'makan', 'pedes2']",orang2 napa makan pedes2
Mia Oktavia Chandra,SEHARIAN NYOBAIN HACK MAKANAN VIRAL DI TIKTOK,@ChikaAja-ok8kk,"katanya lg di aspal, tp kol bisa order makanan","katanya lg di aspal, tp kol bisa order makanan","katanya lg di aspal, tp kol bisa order makanan","katanya lagi di aspal, tapi kol bisa order makanan","['katanya', 'lagi', 'di', 'aspal', 'tapi', 'kol', 'bisa', 'order', 'makanan']","['aspal', 'kol', 'order', 'makanan']","['aspal', 'kol', 'order', 'makan']","['aspal', 'kol', 'order', 'makan']","['aspal', 'kol', 'order', 'makan']","['aspal', 'order', 'makan']",aspal order makan
