nama_channel,judul_video,author,komentar,casefolding,stripping,normalisasi,tokenizing,stopword_removal,stemming,no_repeated,token_list,final_tokens
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@sugiartisunoto,akuu baru tauu kaka uda nikahh,akuu baru tauu kaka uda nikahh,akuu baru tauu kaka uda nikahh,akuu baru tauu kaka sudah nikahh,"['akuu', 'baru', 'tauu', 'kaka', 'sudah', 'nikahh']","['akuu', 'tauu', 'kaka', 'nikahh']","['akuu', 'tauu', 'kaka', 'nikahh']","['aku', 'tau', 'kaka', 'nikah']","['aku', 'tau', 'kaka', 'nikah']","['kaka', 'nikah']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@Ayaww-channel,knp aga gelap ka,knp aga gelap ka,knp aga gelap ka,kenapa aga gelap ka,"['kenapa', 'aga', 'gelap', 'ka']","['aga', 'gelap', 'ka']","['aga', 'gelap', 'ka']","['aga', 'gelap', 'ka']","['aga', 'gelap', 'ka']",['gelap']
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@Firasafira-o7p,"kaa masukan nih yaa
audionya benahin ka, entah mick nya atau suara kakanya, tp di awal itu kedengeran lama kelamaan suaranya ngecil trus di akhir kedengeran lagi💗","kaa masukan nih yaa
audionya benahin ka, entah mick nya atau suara kakanya, tp di awal itu kedengeran lama kelamaan suaranya ngecil trus di akhir kedengeran lagi💗","kaa masukan nih yaa
audionya benahin ka, entah mick nya atau suara kakanya, tp di awal itu kedengeran lama kelamaan suaranya ngecil trus di akhir kedengeran lagi💗","kaa masukan nan yaa audionya benahin ka, entah mick nya atau suara kakanya, tapi di awal itu kedengeran lama kelamaan suaranya ngecil terus di akhir kedengeran lagi💗","['kaa', 'masukan', 'nan', 'yaa', 'audionya', 'benahin', 'ka', 'entah', 'mick', 'nya', 'atau', 'suara', 'kakanya', 'tapi', 'di', 'awal', 'itu', 'kedengeran', 'lama', 'kelamaan', 'suaranya', 'ngecil', 'terus', 'di', 'akhir', 'kedengeran', 'lagi']","['kaa', 'masukan', 'nan', 'yaa', 'audionya', 'benahin', 'ka', 'mick', 'nya', 'suara', 'kakanya', 'kedengeran', 'suaranya', 'ngecil', 'kedengeran']","['kaa', 'masuk', 'nan', 'yaa', 'audio', 'benahin', 'ka', 'mick', 'nya', 'suara', 'kakanya', 'kedengeran', 'suara', 'ngecil', 'kedengeran']","['ka', 'masuk', 'nan', 'ya', 'audio', 'benahin', 'ka', 'mick', 'nya', 'suara', 'kakanya', 'kedengeran', 'suara', 'ngecil', 'kedengeran']","['ka', 'masuk', 'nan', 'ya', 'audio', 'benahin', 'ka', 'mick', 'nya', 'suara', 'kakanya', 'kedengeran', 'suara', 'ngecil', 'kedengeran']","['masuk', 'audio', 'benahin', 'mick', 'suara', 'kakanya', 'kedengeran', 'suara', 'ngecil', 'kedengeran']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@Flowerblue-h5e,Kak plis membeli mainan ❤🎉,kak plis membeli mainan ❤🎉,kak plis membeli mainan ❤🎉,kak tolong membeli mainan ❤🎉,"['kak', 'tolong', 'membeli', 'mainan']","['kak', 'tolong', 'membeli', 'mainan']","['kak', 'tolong', 'beli', 'main']","['kak', 'tolong', 'beli', 'main']","['kak', 'tolong', 'beli', 'main']","['tolong', 'beli', 'main']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@TEGARGanteng-j7s,Kak pebbi makan makanan berhadiah dong 😅😅😅,kak pebbi makan makanan berhadiah dong 😅😅😅,kak pebbi makan makanan berhadiah dong 😅😅😅,kak pebbi makan makanan berhadiah nan 😅😅😅,"['kak', 'pebbi', 'makan', 'makanan', 'berhadiah', 'nan']","['kak', 'pebbi', 'makan', 'makanan', 'berhadiah', 'nan']","['kak', 'pebbi', 'makan', 'makan', 'hadiah', 'nan']","['kak', 'pebi', 'makan', 'makan', 'hadiah', 'nan']","['kak', 'pebi', 'makan', 'makan', 'hadiah', 'nan']","['pebi', 'makan', 'makan', 'hadiah']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@britneydexfine4853,gacorr,gacorr,gacorr,gacorr,['gacorr'],['gacorr'],['gacorr'],['gacor'],['gacor'],['gacor']
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@AlzeynAbhiChandra,Ci bikin konten make up lagi ci,ci bikin konten make up lagi ci,ci bikin konten make up lagi ci,ci bikin konten make up lagi ci,"['ci', 'bikin', 'konten', 'make', 'up', 'lagi', 'ci']","['ci', 'bikin', 'konten', 'make', 'up', 'ci']","['ci', 'bikin', 'konten', 'make', 'up', 'ci']","['ci', 'bikin', 'konten', 'make', 'up', 'ci']","['ci', 'bikin', 'konten', 'make', 'up', 'ci']","['bikin', 'konten', 'make']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@24_AmeliaSusanti,"Kakkkk coba semua makanan khas balii gasiii rujak kuah pindang, batu-batu dll semuanyaa buatin videooo seru kayanyaa","kakkkk coba semua makanan khas balii gasiii rujak kuah pindang, batu-batu dll semuanyaa buatin videooo seru kayanyaa","kakkkk coba semua makanan khas balii gasiii rujak kuah pindang, batu-batu dll semuanyaa buatin videooo seru kayanyaa","kakkkk coba semua makanan khas balii gasiii rujak kuah pindang, batu-batu dll semuanyaa buatin videooo seru kayanyaa","['kakkkk', 'coba', 'semua', 'makanan', 'khas', 'balii', 'gasiii', 'rujak', 'kuah', 'pindang', 'batu', 'batu', 'dll', 'semuanyaa', 'buatin', 'videooo', 'seru', 'kayanyaa']","['kakkkk', 'coba', 'makanan', 'khas', 'balii', 'gasiii', 'rujak', 'kuah', 'pindang', 'batu', 'batu', 'dll', 'semuanyaa', 'buatin', 'videooo', 'seru', 'kayanyaa']","['kakkkk', 'coba', 'makan', 'khas', 'balii', 'gasiii', 'rujak', 'kuah', 'pindang', 'batu', 'batu', 'dll', 'semuanyaa', 'buatin', 'videooo', 'seru', 'kayanyaa']","['kak', 'coba', 'makan', 'khas', 'bali', 'gasi', 'rujak', 'kuah', 'pindang', 'batu', 'batu', 'dl', 'semuanya', 'buatin', 'video', 'seru', 'kayanya']","['kak', 'coba', 'makan', 'khas', 'bali', 'gasi', 'rujak', 'kuah', 'pindang', 'batu', 'batu', 'dl', 'semuanya', 'buatin', 'video', 'seru', 'kayanya']","['coba', 'makan', 'khas', 'bali', 'gasi', 'rujak', 'kuah', 'pindang', 'batu', 'batu', 'semuanya', 'buatin', 'video', 'seru', 'kayanya']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@matchaa432,3:41 aku udah pernah coba enak banget 🎉,3:41 aku udah pernah coba enak banget 🎉,3:41 aku udah pernah coba enak banget 🎉,3:41 aku sudah pernah coba enak banget 🎉,"['3', '41', 'aku', 'sudah', 'pernah', 'coba', 'enak', 'banget']","['3', '41', 'coba', 'enak', 'banget']","['3', '41', 'coba', 'enak', 'banget']","['3', '41', 'coba', 'enak', 'banget']","['3', '41', 'coba', 'enak', 'banget']","['coba', 'enak', 'banget']"
Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 31!",@Amle-w2mlg,Hmm nng gn gn😂😂❤❤❤,hmm nng gn gn😂😂❤❤❤,hmm nng gn gn😂😂❤❤❤,hmm nng gn gn😂😂❤❤❤,"['hmm', 'nng', 'gn', 'gn']","['hmm', 'nng', 'gn', 'gn']","['hmm', 'nng', 'gn', 'gn']","['hm', 'ng', 'gn', 'gn']","['hm', 'ng', 'gn', 'gn']",[]
