nama_channel,judul_video,komentar,jumlah_like_komentar,tanggal_posting
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,selalu ngiler,0,2025-09-29T08:15:18Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,cookies minbite,0,2025-09-06T16:56:33Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,kak bikin review gini lagiiiiiiikiii sukak bangedddd,0,2025-09-02T09:38:41Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,ngoler tahu sama basreng nya,0,2025-08-28T02:17:59Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,salam kenal dari tabanan bali semoga sehat selalu kak,0,2025-07-22T14:51:17Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,jando itu lemak tapi bagian dari pd nya sapi betina kak,0,2025-06-01T15:58:14Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,kalau berani review nastar saya umma delight namanya kak tasyi,0,2025-04-22T12:23:59Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,ada yg tau ga hijab yg dipake tasyi apa,1,2025-04-10T16:34:59Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,38r,0,2025-03-04T09:53:50Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,kayanya enak ya,0,2025-02-26T02:41:13Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,baso cimot punya kak maudy,1,2025-02-26T02:23:34Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,cheesecake mochi,0,2025-02-25T05:42:05Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,kak tasyii coba makan baso nya kaa maudy,0,2025-02-22T04:17:24Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,kaaa tasyi please cobain jajanan blok m yg lagi viral,0,2025-02-14T07:54:47Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,beli dimana ya guys smua itu tertarik bgt sm basreng dan cireng kejunya,0,2025-02-12T04:28:04Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,cakep poll look nya kak tasyi,0,2025-02-07T09:24:53Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,kak cobain pentol dapur estetok punya bu trisha zia,1,2025-01-31T07:13:09Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,bakso mozza kak punya nya kakak nya demian teh maudyy,0,2025-01-29T01:33:14Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,cireng gonjreng melody ex jkt48,1,2025-01-17T12:00:42Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,ka tasyi make pasminah gitu bagus banget,0,2025-01-11T01:35:14Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,dimsum 86 kak tasyi,0,2025-01-08T02:55:17Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,ka rikues ceker mercon,0,2025-01-07T06:42:15Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,battle basreng dong kak,0,2025-01-05T07:01:16Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,bakso mercon punya kak maudy enak banget kak itu wajib cobainn,0,2025-01-04T07:28:49Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,cireng uma food please,0,2024-12-30T14:53:56Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,kak katanya cireng ndut itu nyuri resep gtu dari cireng nya chef mamut coba review itu kak,0,2024-12-29T09:25:59Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,ka tasyiii review bakso mozzarella cimood punya kak maudy yg viral di tiktok,1,2024-12-27T14:21:12Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,kaka ga ad suaranyaa,0,2024-12-23T12:03:49Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,ka tasyi review udang tofu la rimba yang setuju kak tasyi review ini komen,0,2024-12-22T09:32:21Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,sukaa bnget cara reaviw x,1,2024-12-22T05:20:20Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,review makanan di ayam penyet surabaya kak,0,2024-12-19T15:26:28Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,"1 pentol maudy
2 ayam goreng bawang putih 
3 browniesnya jennifer coppen
4 chypukh gede hidayah
5 creeme brulee bella tobing
6 boci creamenya gede hidayah
7 ayam renald
8 kripik otak2 sama kripik pisangnya fahmi",5,2024-12-16T09:53:09Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,battle dimsum ka,0,2024-12-12T05:50:26Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,cobain dimsum mentai pls kak,0,2024-12-10T13:05:13Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,ko di aku ga ada suaranya yah,0,2024-12-09T09:37:46Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,ayam isfriday,0,2024-12-09T05:28:05Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,kak tasyi kok cantik banget deh insecure,0,2024-12-07T12:49:35Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,jando itu lemak dari susu nya sapi,0,2024-12-05T17:27:03Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,kak tasyi udh cobain udang balado nya la rimba blm,0,2024-12-04T04:57:48Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,bakso maudyyyyyy,0,2024-12-04T03:33:06Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,cobain bakso maudy dong,0,2024-12-03T05:26:15Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,"nonton ka tasyi untuk beli makanan 
nonton ka tasyi untuk nemenin makan ",2,2024-12-01T11:24:24Z
Tasyi Athasyia,TASYI REVIEW MAKANAN TIKTOKERS VIRAL😱⁉️ MAAF GAK NIAT MENJATUHKAN🙏🏼,ka tasyi cobain dimsumnya gelia linda dong,1,2024-11-30T03:50:36Z
