komentar,final_cleaned,label
knp aga gelap ka,gelap,neutral
"kaa masukan nih yaa
audionya benahin ka, entah mick nya atau suara kakanya, tp di awal itu kedengeran lama kelamaan suaranya ngecil trus di akhir kedengeran lagi💗",masuk audio benahin mick suara kakanya kedengeran suara ngecil kedengeran,positive
Kak plis membeli mainan ❤🎉,tolong beli main,neutral
Ci bikin konten make up lagi ci,bikin konten make,neutral
KK konten sama jio dong,konten,neutral
Aku juga punya coklat valrhona jivara.. pantes kaya ga asing sama packing nya...,coklat valrhona jivara pantes asing packing,neutral
sumpah salfok bgt makin hari make up kaa pebby makinnn cantikkk 🥺❤️,sumpah salfok banget make peby makin cantik,positive
overprice semua,overprice,negative
Ngiler bngt klo liat abang ini makan... Sungguh ngiler seger bet,ngiler banget liat abang makan sunguh ngiler seger banget,positive
Orang2 napa bs makan pedes2 sih 😭,orang2 napa makan pedes2,neutral
GK tau kenapa kalo liat bang ravie makan selalu ngilerr,liat bang ravie makan ngiler,positive
Ku kira tadi baksonya telur rebus😅,bakso telur rebus,neutral
Lu jualan apa kak,jual,neutral
Halo😊,halo,neutral
Kumis nya jorok,kumis jorok,negative
"BANYAK JEDAG JEDUG SKALI DI VIDIO INI YA BUN😅🙏, TAPI GPP SIH, KARNA DRAMA NYA SERU BGT😊, BTW, SMANGT YAH KA, BUAT KONTEN² NYA😅😊",jedag jedug skali vidio karna drama seru smangt konten,positive
"ngiler cuy🤤🤤,enaakkkkk😅",ngiler enak,positive
"Justru seblaknya orang bandung asli tuh kencurnya kerasa banget, yg aku temuin di luar kota bandung gak kerasa kencur + pake kecap 😢",seblaknya orang bandung asli kencur rasa banget temuin kota bandung rasa kencur pake kecap,neutral
Gw suka bgt nonton channel kak tasyi sambil makan😂 review yg paling gw percaya sih channel ini soalnya ngrasa selera soal rasa mknn kek sama gt❤,suka banget nonton chanel tasyi makan review percaya chanel ngrasa selera,positive
"Gara gara ci mehong haters dia makin menyala, padahal cuma nonton sepenggal video",gara gara mehong haters nyala nonton pengal video,neutral
Esteller harga 5ribu juga ada kak tasyi juga ada avokat sama kelapa mudanya terus kuahnya juga kentel,esteler harga 5ribu tasyi avokat kelapa muda kuah kentel,neutral
Selalu suka konten ka tasyi❤,suka konten tasyi,positive
"I hope you always happy kak.. Heran org org klo ngatain kak tasyi.. Kak tasyi sopan bgt selalu Disclaimer menurut aku, buat aku dll.. Semangatt trs kak❤",hope always hapy heran ngatain tasyi tasyi sopan banget disclaimer semangat,positive
"7:50 byk bct. murah mahal patokannya bukan cuma harga brand pesaing lainnya, tapi juga kualitas produk itu sendiri. es teler kalina ini kalau diliat kualitasnya emang murah, bukan soal dia artis atau bukan ya",murah mahal patok harga brand saing kualitas produk teler kalina liat kualitas emang murah artis,negative
Kakkk tasyi semangatttt ❤❤ selalu tungguin konten kakakkk❤ gausa dengerin hate komen manusia manusia busuk hatinya wkwkw,tasyi semangat tunguin konten kakak gausa dengerin hate komen manusia manusia busuk hati wkwkw,positive
"Kak, cobain kopi (kopi susu kekinian) aku dong, aku buka usaha ala kopi shop, kopinya pakai merk otten kak star form 5k.",cobain kopi kopi susu kini buka usaha kopi shop kopi pakai merk oten star form,neutral
"Aku nontonin tasyi dari jaman blm punya anak sampe anak gue udh 2. Dari dia blm pake hijab yg dapur nya panci"" Warna pastel... Dia tuh ga asal ngomong enak/gaenak tp dia bener"" Tau rasa bener"" Bisa bikin makanan juga... Jadi temen makan bertaun"" Gue youtube nya tasyi.... Sukses terus kak ❤",nontonin tasyi jaman anak sampe anak pake hijab dapur panci warna pastel ngomong enak gaenak bener bener bikin makan temen makan taun youtube tasyi sukses,positive
Mknya gue suka konten nya 😂,mknya suka konten,positive
"Kalau mau beli suatu makanan pasti liat kak tasyi dulu, seleranya/lidahnya 11 12 sama gueee. Love❤",beli makan liat tasyi selera lidah love,positive
Kak Collab sama teh Santy dong,colab santy,neutral
"kaa udah pernah battle seblak yang instan gaa, kan sekarang pada banyakk, mau dongg",batle seblak instan banyak dong,neutral
Kalau makanan cuma tasyi ama ken and grat sih,makan tasyi grat,neutral
Battle rendangg kak,batle rendang,neutral
"Tim yg kalo LG makan mau makan nonton VT ka taysi , kalo LG gabut juga nontonnya KA tasyi . Sampe ngerasa udh besti bgt padahal cuma nonton di yt doang wkwkwk😂",makan makan nonton taysi gabut nontonya tasyi sampe ngerasa besti banget nonton wkwkwk,positive
Gegara tasyi setiap ke minimarket cari air mineral pasti nyarinya crystaline ga mau cari yg lain,gegara tasyi minimarket cari mineral nyarinya crystaline cari,positive
"Pertama suka channel ini pas battle Boba , dan selama itu emng bner si yg menurut ka tasyi enak ya memang bnar ..",suka chanel batle boba emng bner tasyi enak bnar,positive
"Aku sama banget kurang suka seblak mau se hype se viral atau orang"" bilang seenak itu aku tetap no.",banget suka seblak hype viral orang bilang enak,neutral
"Sebagai kaum mendang mending (suka cari yg worth it) dan pecinta makanan enak, setuju dan cocok bgt sm reviewnya kak tasyi 😂 teruskan kak 🥰",kaum dang mending suka cari worth cinta makan enak tuju cocok banget reviewnya tasyi terus,positive
"semangat ngontennya kak tasyii, suka bgt cara ngereviewnya! kak tasyi itu food vlogger ter detail, ter niat, gk cuma bilang makanan ini sekedar ""enak"" atau ""worth it"" tanpa memperhatikan harga dan rata-rata food vlogger diluaran sana lebih pro ke penjual bukan ke konsumen awam. sukses terus ya kakk aku udh support kakak dari pertama bikin yt zaman softlens relaxa dan apron pinknya😁🤍",semangat ngontenya tasyi suka banget ngereviewnya tasyi vloger detail niat bilang makan enak worth perhati harga vloger luar jual konsumen awam sukses suport kakak bikin zaman softlens relaxa apron pinknya,positive
"Aku sukaa bangett sama Konten review nya kak tasyi, apalagi kalau ngereview pasti jujur banget, walaupun banyak netizen yang hujat kak tasyi tapi aku gak peduli yg penting kak tasyi jujur dan ngomong apa adanya❤❤",suka banget konten review tasyi ngereview jujur banget netizen hujat tasyi peduli tasyi jujur ngomong,positive
Dia klo riview aku suka,riview suka,positive
"Review makanan terdetail, terjujur that I ever seen❤",review makan detail jujur that ever,positive
Video yang sampai sekarang aku puter terus tau nggak apa kak? Battle2 susu terutama battle susu strawberry nggak tau kenapa nggak pernah bosen lihatnya😭 Nggak peduli orang bilang apa aku tetep suka banget sama konten2 kak tasyi. Terus berkarya ya kak tasyi dan tim 🫶🏻,video puter batle2 susu batle susu strawbery bosen lihat peduli orang bilang tetep suka banget konten2 tasyi karya tasyi,positive
"kakkk cobain donat2 an apalagi lagi ada donat mochi tuh, punya doughzen, cloudcakes, sama donat2 lain kayak hoomiedough, nama's, fore donut, dll",cobain donat2 donat mochi doughzen cloudcakes donat2 kayak homiedough nama fore donut,neutral
Battle seblak ka tasyiii,batle seblak tasyi,neutral
MasyaAllah kk Tasyi❤,masyalah tasyi,positive
"aku senang sama review kak tasyi karena ada pricepoint, jd kita bisa mikir mikir dulu sebelum beli, gak asal viral trs fomo ikutan beliii, jd bener bener membantu bgt channel kak tasyi! ♡",senang review tasyi pricepoint mikir mikir beli viral fomo ikut beli bener bener bantu banget chanel tasyi,positive
8:15 love yoouuuuu kak tasyiiii ❤❤❤❤❤❤,love tasyi,positive
5:11 aku pencinta pedess auto co sihh 😫😫,cinta pedes auto,neutral
"Kaaa kamu makin kesini makin cantik banget makeupnya juga makin bagusss seneng lihatnyaaa, kayanya km mendengarkan saran netijen ya kaaaa 😍🥰🥰🥰",kesini cantik banget makeupnya bagus neng lihatnya kaya dengar saran netijen,positive
Mantap reviewnya ❤,mantap reviewnya,positive
